benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/uninlined-spec/scimark/,"LU: double[] new_copy(double[])",22,2897,2284,543,2980,1355,982
java/uninlined-spec/scimark/,"LU: double[][] new_copy(double[][])",43,4953,4243,640,5057,1107,1378
java/uninlined-spec/scimark/,"LU: int[] new_copy(int[])",22,3337,2732,536,3420,1357,984
java/uninlined-spec/scimark/,"LU: void insert_copy(double[][],double[][])",85,33319,32629,615,33446,833,1913
java/uninlined-spec/scimark/,"LU: double[][] getLU()",5,228,156,6,299,14,14
java/uninlined-spec/scimark/,"LU: int[] getPivot()",5,228,157,5,302,14,14
java/uninlined-spec/scimark/,"LU: double[] solve(double[])",13,244,165,8,318,23,23
java/uninlined-spec/scimark/,"LU: int factor(double[][],int[])",163,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/uninlined-spec/scimark/,"LU: void solve(double[][],int[],double[])",108,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/uninlined-spec/scimark/,"LU: double measureLU(int,double,Random)",91,93116,92415,605,93245,1323,749
java/uninlined-spec/scimark/,"LU: void run()",19,247,167,8,320,24,24
java/uninlined-spec/scimark/,"Random: void <init>()",32,256,175,14,340,50,50
java/uninlined-spec/scimark/,"Random: void <init>(double,double)",46,273,185,19,366,62,62
java/uninlined-spec/scimark/,"Random: void <init>(int)",31,255,175,13,336,45,45
java/uninlined-spec/scimark/,"Random: void <init>(int,double,double)",45,260,174,18,345,57,57
java/uninlined-spec/scimark/,"Random: double nextDouble()",72,328,212,45,473,104,97
java/uninlined-spec/scimark/,"Random: void nextDoubles(double[])",394,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/uninlined-spec/scimark/,"Random: void initialize(int)",75,30083,29420,581,30191,781,673
java/uninlined-spec/scimark/,"SparseCompRow: void <init>(int)",7,227,154,5,302,14,14
java/uninlined-spec/scimark/,"SparseCompRow: void main(int)",9,230,158,6,308,18,18
java/uninlined-spec/scimark/,"SparseCompRow: double num_flops(int,int,int)",15,239,159,14,319,18,15
java/uninlined-spec/scimark/,"SparseCompRow: void matmult(double[],double[],int[],int[],double[],int,int)",87,8994,8347,565,9224,921,1283
java/uninlined-spec/scimark/,"SparseCompRow: double measureSparseMatmult(int,int,double,Random)",109,4912,4108,728,5054,1656,1747
java/uninlined-spec/scimark/,"SparseCompRow: void run()",22,237,162,9,314,28,28
java/uninlined-spec/scimark/,"SOR: void <init>(int)",7,226,155,5,300,14,14
java/uninlined-spec/scimark/,"SOR: void main(int)",9,242,162,6,319,18,18
java/uninlined-spec/scimark/,"SOR: double num_flops(int,int,int)",22,3761,3398,296,3842,315,87
java/uninlined-spec/scimark/,"SOR: double execute(double,double[][],int)",112,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/uninlined-spec/scimark/,"SOR: double measureSOR(int,double,Random)",75,360,234,51,501,147,146
java/uninlined-spec/scimark/,"SOR: void run()",19,237,163,7,311,24,24
java/uninlined-spec/scimark/,"MonteCarlo: void <init>()",4,220,150,4,292,10,10
java/uninlined-spec/scimark/,"MonteCarlo: void main()",8,229,157,5,306,16,16
java/uninlined-spec/scimark/,"MonteCarlo: double num_flops(int)",6,227,151,10,300,10,9
java/uninlined-spec/scimark/,"MonteCarlo: double integrate(int)",40,3123,2400,651,3244,798,990
java/uninlined-spec/scimark/,"MonteCarlo: double measureMonteCarlo(double,Random)",32,264,178,17,346,45,44
java/uninlined-spec/scimark/,"MonteCarlo: void run()",16,234,160,6,310,20,20
java/uninlined-spec/scimark/,"FFT: void <init>(int)",7,225,153,5,302,14,14
java/uninlined-spec/scimark/,"FFT: double num_flops(int)",23,307,180,58,393,53,31
java/uninlined-spec/scimark/,"FFT: long inst_main(java.lang.String[])",5,227,154,4,297,10,10
java/uninlined-spec/scimark/,"FFT: void transform(double[])",6,227,154,5,302,12,12
java/uninlined-spec/scimark/,"FFT: void inverse(double[])",32,4343,3728,544,4429,1310,936
java/uninlined-spec/scimark/,"FFT: double test(double[])",48,3936,3121,738,4044,1663,1225
java/uninlined-spec/scimark/,"FFT: double[] makeRandom(int)",21,2044,1427,547,2128,1087,749
java/uninlined-spec/scimark/,"FFT: void main(int)",9,221,150,6,271,18,18
java/uninlined-spec/scimark/,"FFT: void transform_internal(double[],int)",252,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/uninlined-spec/scimark/,"FFT: void bitreverse(double[])",87,29754,29032,646,29879,1522,1563
java/uninlined-spec/scimark/,"FFT: double measureFFT(int,double,Random)",75,372,224,63,502,125,123
java/uninlined-spec/scimark/,"Constants: void <init>()",4,226,152,4,299,10,10
java/uninlined-spec/scimark/,"kernel: void <init>()",4,219,150,4,292,10,10
java/uninlined-spec/scimark/,"kernel: double[] NewVectorCopy(double[])",22,3867,3260,538,3951,1359,985
java/uninlined-spec/scimark/,"kernel: void CopyVector(double[],double[])",18,3374,2760,544,3455,1355,982
java/uninlined-spec/scimark/,"kernel: double normabs(double[],double[])",26,2071,1339,661,2169,726,863
java/uninlined-spec/scimark/,"kernel: void CopyMatrix(double[][],double[][])",85,11148,10465,607,11278,839,1864
java/uninlined-spec/scimark/,"kernel: double[][] RandomizeMatrix(double[][],Random)",28,2970,2349,550,3073,674,1151
java/uninlined-spec/scimark/,"kernel: double[][] RandomMatrix(int,int,Random)",28,1845,1130,644,1943,837,1159
java/uninlined-spec/scimark/,"kernel: double[] RandomVector(int,Random)",18,2484,1876,540,2572,1088,772
java/uninlined-spec/scimark/,"kernel: double[] RandomizeVector(double[],Random)",16,7412,6812,530,7498,878,595
java/uninlined-spec/scimark/,"kernel: double[] matvec(double[][],double[])",13,230,159,6,303,17,17
java/uninlined-spec/scimark/,"kernel: void matvec(double[][],double[],double[])",44,6011,5320,620,6116,813,1418
java/uninlined-spec/scimark/,"kernel: void init()",92,355,224,53,488,139,139
java/uninlined-spec/scimark/,"kernel: void checkResults(java.lang.String,java.lang.String,int)",27,277,181,19,381,61,61
java/uninlined-spec/scimark/,"Stopwatch: double seconds()",6,232,155,11,305,14,13
